environment,sampling_points,season,Mg,K,Ca,P,Al,V,B,Fe,Cu
Serinhaem,N,Wet,304.23,359.47,157.27,0.078,0.272,0.068,"1,849",<LD,0.042
Serinhaem,N,Wet,276.73,279.1,120.77,<LD,0.241,0.061,"1,467",<LD,0.043
Serinhaem,N,Wet,288.43,299.4,126.13,<LD,0.209,0.059,"1,553",<LD,0.044
Serinhaem,N,Wet,301.2,305.9,127.55,<LD,<LD,0.063,"1,576",<LD,0.042
Serinhaem,N,Wet,280.97,305.17,124.27,<LD,<LD,0.052,"1,550",<LD,0.043
Serinhaem,N,Wet,280.4,297.4,123.5,0.065,0.009,0.057,"1,522",<LD,0.044
Serinhaem,N,Wet,274.57,299.07,122.17,<LD,0.078,0.066,"1,520",<LD,0.042
Serinhaem,N,Wet,266.77,276.2,111.3,<LD,0.086,0.049,"1,370",<LD,0.044
Serinhaem,N,Wet,300.65,498.75,161.67,<LD,<LD,0.065,"2,168",<LD,0.045
Serinhaem,N,Wet,219.23,242.67,74.02,<LD,0.032,0.056,"1,183",<LD,0.043
Serinhaem,N,Dry,1318.5,1361,885.1,<LD,<LD,0.016,6.06,<LD,<LD
Serinhaem,N,Dry,1365,1501.5,955.8,<LD,<LD,0.006,6.4,<LD,<LD
Serinhaem,N,Dry,1280.5,1270.5,841.3,<LD,<LD,0.004,5.67,<LD,<LD
Serinhaem,N,Dry,1173,1022,750.4,<LD,<LD,0.025,4.95,<LD,<LD
Serinhaem,N,Dry,1252.5,1278.5,806.6,<LD,<LD,0.006,5.69,<LD,<LD
Serinhaem,N,Dry,1222,1150.5,768.8,<LD,<LD,0.073,5.27,<LD,<LD
Serinhaem,N,Dry,1182,1154.5,743.7,<LD,<LD,0.018,5.11,<LD,<LD
Serinhaem,N,Dry,1068,933.8,589.6,<LD,<LD,0.01,4.1,<LD,<LD
Serinhaem,N,Dry,1002.2,817.8,587.3,<LD,<LD,0.05,3.61,<LD,<LD
Serinhaem,N,Dry,1073.5,914.4,609.7,<LD,<LD,0.025,4.07,<LD,<LD
Sorojo,C,Wet,361.77,410.6,213.3,0.034,<LD,0.069,"2,388",<LD,0.043
Sorojo,C,Wet,369.4,427.43,214.27,0.081,<LD,0.07,"2,549",<LD,0.041
Sorojo,C,Wet,372.3,445.97,228,0.062,<LD,0.057,"2,464",<LD,0.043
Sorojo,C,Wet,370.97,449.27,226.47,0.061,<LD,0.068,"2,442",<LD,0.04
Sorojo,C,Wet,345.07,393.57,189.3,<LD,0.412,0.068,"2,145",0.307,0.042
Sorojo,C,Wet,350.3,388.7,188.67,<LD,0.318,0.06,"2,230",0.072,0.044
